Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,YDS,V-grade,Route Danger Rating
Road Bloc,Road Bloc > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/122501653/road-bloc,2.0,-1,Boulder,V1+,1,10.0,40.00278,-105.29528,,V1+,
Northern Arete,Surf Rock > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/122906316/northern-arete,2.0,-1,Boulder,V1,1,10.0,40.00383,-105.29783,,V1,
Southern Arete,Surf Rock > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/122906431/southern-arete,3.0,-1,Boulder,V3,1,12.0,40.00383,-105.29783,,V3,
Leap of Faith,Surf Rock > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/122906390/leap-of-faith,2.0,-1,Boulder,V4,1,12.0,40.00383,-105.29783,,V4,
South Face,The Rock Shelter > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/122912312/south-face,1.0,-1,Boulder,V0,1,10.0,40.00364,-105.29778,,V0,
Homeless Shelter,The Rock Shelter > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/122912249/homeless-shelter,1.0,-1,Boulder,V1,1,10.0,40.00364,-105.29778,,V1,
East Overhang,The Rock Shelter > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/122912219/east-overhang,1.0,-1,Boulder,V1,1,5.0,40.00364,-105.29778,,V1,
South Overhang,The Rock Shelter > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/122912136/south-overhang,1.0,-1,Boulder,V3,1,5.0,40.00364,-105.29778,,V3,
Door Jam Campus,The Rock Shelter > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/122912089/door-jam-campus,1.0,-1,Boulder,V4,1,5.0,40.00364,-105.29778,,V4,
Void Seam,Void Boulder > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/122916171/void-seam,1.0,-1,Boulder,V0-,1,10.0,40.0036,-105.29774,,V0-,
Above The Void,Void Boulder > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/122916198/above-the-void,1.0,-1,Boulder,V0-1 X,1,15.0,40.0036,-105.29774,,V0-1,X
Around The World Traverse,Around The World Bloc > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/122916309/around-the-world-traverse,1.0,-1,Boulder,V1,1,8.0,40.00397,-105.29786,,V1,
JG Rock,Jack Giura > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/124792214/jg-rock,2.0,-1,Boulder,V1,1,7.0,40.00247,-105.29475,,V1,
Hen Hut,The Hut > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/126118247/hen-hut,3.0,-1,Boulder,V0,1,12.0,40.00276,-105.29542,,V0,
