user.name,Buttermilks occurences,user_dict
Pat Zimmer,35,"{'user_ID': 200078818, 'user_name': 'Pat Zimmer', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Chris Humphries,35,"{'user_ID': 109124792, 'user_name': 'Chris Humphries', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Alex Souza,35,"{'user_ID': 112524781, 'user_name': 'Alex Souza', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Mike Lautman,35,"{'user_ID': 200124470, 'user_name': 'Mike Lautman', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Walter Martin,34,"{'user_ID': 200434052, 'user_name': 'Walter Martin', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
2 Leg Greg !,34,"{'user_ID': 109306319, 'user_name': '2 Leg Greg !', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Chris Craft,34,"{'user_ID': 105886042, 'user_name': 'Chris Craft', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Max Green,34,"{'user_ID': 111932954, 'user_name': 'Max Green', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Luke Cornejo,34,"{'user_ID': 108773303, 'user_name': 'Luke Cornejo', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Ryan Westby,33,"{'user_ID': 200200801, 'user_name': 'Ryan Westby', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Kyle Fisher,33,"{'user_ID': 200493116, 'user_name': 'Kyle Fisher', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
