Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,YDS,V-grade,Route Danger Rating
Shotgun Willy,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/113040976/shotgun-willy,3.7,-1,Boulder,V8,1,12.0,41.15478,-105.37467,,V8,
Tempest,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105756481/tempest,3.3,-1,Boulder,V10,1,,41.15478,-105.37467,,V10,
The Republic,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/108117194/the-republic,3.0,-1,Boulder,V10,1,10.0,41.15478,-105.37467,,V10,
The Vedajuicer,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105964181/the-vedajuicer,3.3,-1,"Trad, Boulder",V11,1,15.0,41.15478,-105.37467,,V11,
Unknown Boulder V0,Old Easy > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/124704071/unknown-boulder-v0,2.0,-1,Boulder,V0,1,15.0,41.1632,-105.37104,,V0,
Cheap Perfume,Old Easy > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/111878921/cheap-perfume,2.0,-1,Boulder,V1,1,15.0,41.1632,-105.37104,,V1,
Cheap Perfume Direct,Old Easy > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/111884776/cheap-perfume-direct,2.0,-1,Boulder,V1,1,20.0,41.1632,-105.37104,,V1,
Classic Splitter,Old Easy > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105971762/classic-splitter,3.5,-1,"Trad, Boulder",5.11 V2,1,13.0,41.1632,-105.37104,5.11,V2,
Reverse Cowgirl,Old Easy > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/111941986/reverse-cowgirl,2.0,-1,Boulder,V2,1,8.0,41.1632,-105.37104,,V2,
The Biggest Tits in Country Music,Old Easy > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105753949/the-biggest-tits-in-country-music,3.6,-1,"Trad, Boulder",V3,1,,41.1632,-105.37104,,V3,
Boneghazi,Old Easy > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/111942030/boneghazi,3.0,-1,Boulder,V3,1,15.0,41.1632,-105.37104,,V3,
The Biggest Lips in Rock 'n' Roll,Old Easy > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/111942212/the-biggest-lips-in-rock-n-roll,3.0,-1,Boulder,V3,1,,41.1632,-105.37104,,V3,
Nameless Crack,Old Easy > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/119755544/nameless-crack,2.0,-1,Boulder,V3 R,1,27.0,41.1632,-105.37104,,V3,R
To be deleted - submitted as The Whisper Seep,Old Easy > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/201252583/to-be-deleted-submitted-as-the-whisper-seep,-1.0,-1,Boulder,V4,1,20.0,41.1632,-105.37104,,V4,
Desiderata,Old Easy > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105861281/desiderata,4.0,-1,"Trad, Boulder",5.12- V5-,1,20.0,41.1632,-105.37104,5.12-,V5-,
